"query","name","labelM2","measuredM2","deltaPct","method","doors","windows","furniture","flags"
"B-220","B-220 / SLUZA AIIR 1","28","158,8518008194445","467,32786006944464285714285714","flood","0","0","6","leakSuspected|labelMismatch|emptyOpenings"
"B-220","B-220 / SLUZA AIIR 1","28","158,8518008194445","467,32786006944464285714285714","flood","0","0","6","leakSuspected|labelMismatch|emptyOpenings"
"B-221","B-221 / SLUZA AIIR 2","28","82,45946659027778","194,49809496527778571428571429","flood","0","0","1","leakSuspected|labelMismatch|emptyOpenings"
"B-221","B-221 / SLUZA AIIR 2","28","82,45946659027778","194,49809496527778571428571429","flood","0","0","1","leakSuspected|labelMismatch|emptyOpenings"
"B-222","B-222 / AIIR 1 / 28 m² / -12 Pa / HEPA","28","106,4","280,0","raycast","0","0","5","leakSuspected|leakSuspected|labelMismatch|emptyOpenings"
"B-301","B-301 / GIPSOWNIA / 34 m²","34","46,8","37,647058823529411764705882350","raycast","0","0","0","leakSuspected|labelMismatch|emptyOpenings"
"B-302","B-302 / LAB POC / 34 m²","34","28,426299562500006","16,393236580882335294117647060","flood","0","0","0","labelMismatch|emptyOpenings"
"B-303","B-303 / RTG SOR / 34 m²","34","32,6376032013889","4,0070494076797058823529411800","flood","0","0","1","emptyOpenings"
"B-304","B-304 / GINEK. / OBS. / 34 m²","34","150,8","343,52941176470588235294117647","raycast","0","0","1","leakSuspected|leakSuspected|labelMismatch|emptyOpenings"
"B-401","B-401 / PRACOWNIA TK (CT) / 81 m² / Pb","81","80,10399167361112","1,1061831189986172839506172800","flood","0","0","1","emptyOpenings"
"B-402","B-402 / KABINA STEROWANIA TK / 36 m²","36","34,67187699305556","3,6892305748456666666666666700","flood","0","0","0","emptyOpenings"
"B-410","B-410 / MR 3T / Faraday / 80 m²","80","71,82414045138891","10,219824435763862500","flood","0","0","2","labelMismatch|emptyOpenings"
"B-421","B-421 / RTG-1 / 56 m² / Pb","56","54,74694730555556","2,2375940972222142857142857100","flood","0","0","4","emptyOpenings"
"B-422","B-422 / RTG-2 / 56 m² / Pb","56","53,694121395833335","4,1176403645833303571428571400","flood","0","0","3","emptyOpenings"
"B-502","B-502 / SALA OR-2 / 52,5 m² | ISO-5 | -5 Pa","52,5","46,52062960416667","11,389276944444438095238095240","flood","0","0","1","labelMismatch|emptyOpenings"
"B-504","B-504 / SALA OR-4 HYBRID / 52,5 m² | ISO-5 | -5 Pa","52,5","49,7","5,3333333333333333333333333300","raycast","0","0","1","leakSuspected|emptyOpenings"
"B-601","B-601 / POKOJ 1-osobowy / 30 m²","30","30","0","raycast","0","0","0","leakSuspected|emptyOpenings"
"B-602","B-602 / POKOJ 1-osobowy / 30 m²","30","72,21671960416667","140,72239868055556666666666667","flood","0","0","2","leakSuspected|labelMismatch|emptyOpenings"
"B-602","B-602 / POKOJ 1-osobowy / 30 m²","30","72,21671960416667","140,72239868055556666666666667","flood","0","0","2","leakSuspected|labelMismatch|emptyOpenings"
"B-603","B-603 / POKOJ 1-osobowy / 30 m²","30","63,27662162500002","110,922072083333400","flood","0","0","0","leakSuspected|labelMismatch|emptyOpenings"
"B-603","B-603 / POKOJ 1-osobowy / 30 m²","30","63,27662162500002","110,922072083333400","flood","0","0","0","leakSuspected|labelMismatch|emptyOpenings"
"B-604","B-604 / POKOJ 1-osobowy / 30 m²","30","30","0","raycast","0","0","0","leakSuspected|emptyOpenings"
